espèce,description
Gilbertiodendron Dewevrei,3. Gilbertiodendron Dewevrei (De Wildeman) Léonard
GiLbertiodendron pachyanthum,4. GiLbertiodendron pachyanthum (Harms) Léonard
Gilbertiodendron mayombense,5. Gilbertiodendron mayombense (Pellegrin) Léonard
Gilbertiodendron demonstrans,6. Gilbertiodendron demonstrans (Bâillon) Léonard
Gilbertiodendron Klainei,9. Gilbertiodendron Klainei (Pierre ex Pellegrin) Léonard
Didelotia Letouzeyi,1. Didelotia Letouzeyi Pellegrin
Didelotia africana,2. Didelotia africana Bâillon
Didelotia unifoliolata,3. Didelotia unifoliolata Léonard
Isoberlinia tomentosa,2. Isoberlinia tomentosa (Harms) Craib & Stapf
Berlinia bracteosa,1. Berlinia bracteosa Bentbam
Berlinia grandiflora,2. Berlinia grandiflora (Vahl) Hutchinson & Dalziel
Berlinia auriculata,3. Berlinia auriculata Bentham
Berlinia Craibiana,5. Berlinia Craibiana Baker fil.
Aphanocalyx margininervatus,1. Aphanocalyx margininervatus Léonard
Brachystegia Mildbraedii,1. Brachystegia Mildbraedii Harms
Brachystegia cynometroides,2. Brachystegia cynometroides Harms
Brachystegia Zenkeri,3. Brachystegia Zenkeri Harms
Brachystegia eurycoma,4. Brachystegia eurycoma Harms
Tetraberlinia bifoliolata,1. Tetraberlinia bifoliolata (Harms) Hauman
Tetraberlinia polyphylla,2. Tetraberlinia polyphylla (Harms) Léonard
Monopetalanthus Hedinii,2. Monopetalanthus Hedinii (A. Chevalier) Pellegrin
Monopetalanthus microphyllus,3. Monopetalanthus microphyllus Harms
Monopetalanthus Pellegrinii,5. Monopetalanthus Pellegrinii A. Chevalier
Swartzia fistuloides,1. Swartzia fistuloides Harms
Swartzia madagascariensis,2. Swartzia madagascariensis Desvaux
Csesalpinia Welwitschiana,1. Csesalpinia Welwitschiana (Oliver) Brenan
Erythrophleum ivorense,1. Erythrophleum ivorense A. Chevalier
